Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,SAS,14.0,44.0,Away,30.0,44.0,44.0
2022-10-21,NOP,15.0,53.0,Home,38.0,48.5,97.0
2022-10-23,ATL,16.0,45.0,Away,29.0,47.333333333333336,142.0
2022-10-26,NYK,12.0,46.0,Away,34.0,47.0,188.0
2022-10-28,ORL,5.0,48.0,Away,43.0,47.2,236.0
2022-10-29,GSW,10.0,49.0,Home,39.0,47.5,285.0
2022-10-31,SAC,10.0,42.0,Home,32.0,46.714285714285715,327.0
2022-11-02,CHI,11.0,51.0,Away,40.0,47.25,378.0
2022-11-04,MEM,18.0,60.0,Away,42.0,48.666666666666664,438.0
2022-11-05,BRK,9.0,41.0,Home,32.0,47.9,479.0
2022-11-07,WAS,10.0,47.0,Home,37.0,48.2,526.0
2022-11-09,POR,8.0,45.0,Home,37.0,47.4,571.0
2022-11-10,MIA,8.0,38.0,Away,30.0,46.7,609.0
2022-11-12,MIA,9.0,46.0,Away,37.0,46.7,655.0
2022-11-14,ORL,22.0,48.0,Away,26.0,46.7,703.0
2022-11-16,IND,7.0,34.0,Home,27.0,45.2,737.0
2022-11-18,CLE,7.0,50.0,Away,43.0,46.0,787.0
2022-11-20,WAS,14.0,49.0,Away,35.0,45.8,836.0
2022-11-23,PHI,8.0,45.0,Home,37.0,44.3,881.0
2022-11-25,MIN,11.0,45.0,Home,34.0,44.7,926.0
2022-11-28,BOS,9.0,39.0,Away,30.0,43.9,965.0
2022-12-02,WAS,18.0,56.0,Home,38.0,45.0,1021.0
2022-12-03,MIL,8.0,47.0,Home,39.0,45.9,1068.0
2022-12-05,LAC,13.0,47.0,Home,34.0,46.0,1115.0
2022-12-07,BRK,5.0,39.0,Away,34.0,45.1,1154.0
2022-12-09,NYK,16.0,48.0,Home,32.0,46.5,1202.0
2022-12-11,PHI,9.0,41.0,Away,32.0,45.6,1243.0
2022-12-14,DET,12.0,52.0,Home,40.0,45.9,1295.0
2022-12-16,ATL,4.0,41.0,Home,37.0,45.5,1336.0
2022-12-18,DEN,15.0,55.0,Away,40.0,46.5,1391.0
2022-12-19,SAC,10.0,42.0,Away,32.0,46.8,1433.0
2022-12-21,LAC,5.0,48.0,Away,43.0,46.0,1481.0
2022-12-23,LAL,12.0,42.0,Away,30.0,45.5,1523.0
2022-12-26,POR,10.0,50.0,Away,40.0,45.8,1573.0
2022-12-27,GSW,9.0,49.0,Away,40.0,46.8,1622.0
2022-12-29,OKC,11.0,41.0,Home,30.0,46.1,1663.0
2022-12-31,BRK,2.0,42.0,Home,40.0,46.2,1705.0
2023-01-02,LAL,9.0,53.0,Home,44.0,46.3,1758.0
2023-01-04,MEM,11.0,59.0,Home,48.0,48.1,1817.0
2023-01-06,MIL,12.0,45.0,Away,33.0,47.1,1862.0
2023-01-08,IND,8.0,41.0,Away,33.0,47.0,1903.0
2023-01-10,TOR,18.0,49.0,Away,31.0,47.1,1952.0
2023-01-12,TOR,8.0,32.0,Away,24.0,46.1,1984.0
2023-01-14,BOS,14.0,46.0,Home,32.0,45.7,2030.0
2023-01-16,BOS,14.0,47.0,Home,33.0,45.5,2077.0
2023-01-18,HOU,12.0,47.0,Away,35.0,46.1,2124.0
2023-01-21,ATL,6.0,40.0,Away,34.0,45.9,2164.0
2023-01-23,UTA,9.0,46.0,Away,37.0,45.2,2210.0
2023-01-24,PHO,15.0,55.0,Away,40.0,44.8,2265.0
2023-01-26,CHI,7.0,43.0,Home,36.0,44.6,2308.0
2023-01-29,MIA,10.0,36.0,Home,26.0,44.1,2344.0
2023-01-31,MIL,16.0,66.0,Away,50.0,45.8,2410.0
2023-02-02,CHI,8.0,40.0,Away,32.0,46.6,2450.0
2023-02-03,DET,12.0,51.0,Away,39.0,47.1,2501.0
2023-02-05,ORL,18.0,52.0,Home,34.0,47.6,2553.0
2023-02-08,WAS,11.0,52.0,Away,41.0,48.1,2605.0
2023-02-10,BOS,5.0,43.0,Away,38.0,48.4,2648.0
2023-02-11,DEN,14.0,51.0,Home,37.0,48.9,2699.0
2023-02-13,ATL,16.0,42.0,Home,26.0,47.6,2741.0
2023-02-15,SAS,20.0,58.0,Home,38.0,49.1,2799.0
2023-02-24,MIN,7.0,45.0,Away,38.0,50.0,2844.0
2023-02-25,MIA,7.0,42.0,Home,35.0,47.6,2886.0
2023-02-27,DET,10.0,39.0,Home,29.0,47.5,2925.0
2023-03-01,PHO,5.0,48.0,Home,43.0,47.2,2973.0
2023-03-03,ORL,13.0,42.0,Home,29.0,46.2,3015.0
2023-03-05,BRK,8.0,52.0,Away,44.0,46.2,3067.0
2023-03-07,NYK,10.0,39.0,Away,29.0,45.8,3106.0
2023-03-09,DET,17.0,48.0,Away,31.0,45.5,3154.0
2023-03-11,UTA,20.0,60.0,Home,40.0,47.3,3214.0
2023-03-12,CLE,11.0,40.0,Home,29.0,45.5,3254.0
2023-03-14,CLE,8.0,30.0,Home,22.0,44.0,3284.0
2023-03-17,PHI,14.0,62.0,Home,48.0,46.0,3346.0
2023-03-20,IND,13.0,48.0,Home,35.0,46.9,3394.0
2023-03-23,NOP,11.0,52.0,Away,41.0,47.3,3446.0
2023-03-24,DAL,7.0,45.0,Away,38.0,47.6,3491.0
2023-03-26,DAL,3.0,37.0,Home,34.0,46.1,3528.0
2023-03-28,OKC,7.0,39.0,Away,32.0,46.1,3567.0
2023-03-31,CHI,9.0,42.0,Home,33.0,45.5,3609.0
2023-04-02,TOR,15.0,45.0,Home,30.0,44.0,3654.0
2023-04-04,TOR,10.0,41.0,Home,31.0,44.1,3695.0
2023-04-07,HOU,14.0,48.0,Home,34.0,45.9,3743.0
2023-04-09,CLE,11.0,44.0,Away,33.0,44.1,3787.0
